Country,Locality,Indicator,Date,Value
Guinea,National,cumulative_cases,29/08/2014,648
Guinea,National,cumulative_deaths,29/08/2014,430
Guinea,National,cumulative_cases,5/9/2014,812
Guinea,National,cumulative_deaths,5/9/2014,517
Guinea,National,cumulative_cases,8/9/2014,862
Guinea,National,cumulative_deaths,8/9/2014,555
Guinea,National,cumulative_cases,12/9/2014,861
Guinea,National,cumulative_deaths,12/9/2014,557
Guinea,National,cumulative_cases,16/09/2014,936
Guinea,National,cumulative_deaths,16/09/2014,595
Guinea,National,cumulative_cases,18/09/2014,942
Guinea,National,cumulative_deaths,18/09/2014,601
Guinea,National,cumulative_cases,22/09/2014,1008
Guinea,National,cumulative_deaths,22/09/2014,632
Guinea,National,cumulative_cases,24/09/2014,1022
Guinea,National,cumulative_deaths,24/09/2014,635
Guinea,National,cumulative_cases,26/09/2014,1074
Guinea,National,cumulative_deaths,26/09/2014,648
Guinea,National,cumulative_cases,1/10/2014,1157
Guinea,National,cumulative_deaths,1/10/2014,710
Guinea,National,cumulative_cases,3/10/2014,1199
Guinea,National,cumulative_deaths,3/10/2014,739
Guinea,National,cumulative_cases,8/10/2014,1298
Guinea,National,cumulative_deaths,8/10/2014,768
Guinea,National,cumulative_cases,10/10/2014,1350
Guinea,National,cumulative_deaths,10/10/2014,778
Guinea,National,cumulative_cases,15/10/2014,1472
Guinea,National,cumulative_deaths,15/10/2014,843
Guinea,National,cumulative_cases,17/10/2014,1519
Guinea,National,cumulative_deaths,17/10/2014,862
Guinea,National,cumulative_cases,22/10/2014,1540
Guinea,National,cumulative_deaths,22/10/2014,904
Guinea,National,cumulative_cases,25/10/2014,1553
Guinea,National,cumulative_deaths,25/10/2014,926
Guinea,National,cumulative_cases,29/10/2014,1906
Guinea,National,cumulative_deaths,29/10/2014,997
Guinea,National,cumulative_cases,31/10/2014,1667
Guinea,National,cumulative_deaths,31/10/2014,1018
Guinea,National,cumulative_cases,5/11/2014,1731
Guinea,National,cumulative_deaths,5/11/2014,1041
Guinea,National,cumulative_cases,7/11/2014,1760
Guinea,National,cumulative_deaths,7/11/2014,1054
Guinea,National,cumulative_cases,12/11/2014,1878
Guinea,National,cumulative_deaths,12/11/2014,1142
Guinea,National,cumulative_cases,14/11/2014,1919
Guinea,National,cumulative_deaths,14/11/2014,1166
Guinea,National,cumulative_cases,19/11/2014,1971
Guinea,National,cumulative_deaths,19/11/2014,1192
Guinea,National,cumulative_cases,21/11/2014,2047
Guinea,National,cumulative_deaths,21/11/2014,1214
Guinea,National,cumulative_cases,26/11/2014,2134
Guinea,National,cumulative_deaths,26/11/2014,1260
Guinea,National,cumulative_cases,1/12/2014,2155
Guinea,National,cumulative_deaths,1/12/2014,1312
Guinea,National,cumulative_cases,3/12/2014,2164
Guinea,National,cumulative_deaths,3/12/2014,1327
Guinea,National,cumulative_cases,10/12/2014,2292
Guinea,National,cumulative_deaths,10/12/2014,1428
Guinea,National,cumulative_cases,15/12/2014,2394
Guinea,National,cumulative_deaths,15/12/2014,1518
Guinea,National,cumulative_cases,17/12/2014,2416
Guinea,National,cumulative_deaths,17/12/2014,1525
Guinea,National,cumulative_cases,22/12/2014,2571
Guinea,National,cumulative_deaths,22/12/2014,1586
Guinea,National,cumulative_cases,23/12/2014,2597
Guinea,National,cumulative_deaths,23/12/2014,1607
Guinea,National,cumulative_cases,24/12/2014,2597
Guinea,National,cumulative_deaths,24/12/2014,1607
Guinea,National,cumulative_cases,26/12/2014,2630
Guinea,National,cumulative_deaths,26/12/2014,1654
Guinea,National,cumulative_cases,29/12/2014,2695
Guinea,National,cumulative_deaths,29/12/2014,1697
Guinea,National,cumulative_cases,30/12/2014,2706
Guinea,National,cumulative_deaths,30/12/2014,1708
Guinea,National,cumulative_cases,31/12/2014,2707
Guinea,National,cumulative_deaths,31/12/2014,1709
Guinea,National,cumulative_cases,2/1/2015,2730
Guinea,National,cumulative_deaths,2/1/2015,1739
Guinea,National,cumulative_cases,5/1/2015,2769
Guinea,National,cumulative_deaths,5/1/2015,1767
Guinea,National,cumulative_cases,6/1/2015,2775
Guinea,National,cumulative_deaths,6/1/2015,1781
Guinea,National,cumulative_cases,7/1/2015,2775
Guinea,National,cumulative_deaths,7/1/2015,1781
Guinea,National,cumulative_cases,8/1/2015,2776
Guinea,National,cumulative_deaths,8/1/2015,1786
Guinea,National,cumulative_cases,9/1/2015,2793
Guinea,National,cumulative_deaths,9/1/2015,1797
Guinea,National,cumulative_cases,12/1/2015,2799
Guinea,National,cumulative_deaths,12/1/2015,1807
Guinea,National,cumulative_cases,13/01/2015,2799
Guinea,National,cumulative_deaths,13/01/2015,1807
Guinea,National,cumulative_cases,14/01/2015,2806
Guinea,National,cumulative_deaths,14/01/2015,1814
Guinea,National,cumulative_cases,15/01/2015,2817
Guinea,National,cumulative_deaths,15/01/2015,1821
Guinea,National,cumulative_cases,16/01/2015,2825
Guinea,National,cumulative_deaths,16/01/2015,1829
Guinea,National,cumulative_cases,19/01/2015,2873
Guinea,National,cumulative_deaths,19/01/2015,1875
Guinea,National,cumulative_cases,20/01/2015,2871
Guinea,National,cumulative_deaths,20/01/2015,1876
Guinea,National,cumulative_cases,21/01/2015,2871
Guinea,National,cumulative_deaths,21/01/2015,1876
Guinea,National,cumulative_cases,22/01/2015,2873
Guinea,National,cumulative_deaths,22/01/2015,1879
Guinea,National,cumulative_cases,23/01/2015,2873
Guinea,National,cumulative_deaths,23/01/2015,1880
Guinea,National,cumulative_cases,26/01/2015,2909
Guinea,National,cumulative_deaths,26/01/2015,1906
Guinea,National,cumulative_cases,27/01/2015,2917
Guinea,National,cumulative_deaths,27/01/2015,1910
Guinea,National,cumulative_cases,28/01/2015,2917
Guinea,National,cumulative_deaths,28/01/2015,1910
Guinea,National,cumulative_cases,29/01/2015,2921
Guinea,National,cumulative_deaths,29/01/2015,1911
Guinea,National,cumulative_cases,30/01/2015,2920
Guinea,National,cumulative_deaths,30/01/2015,1913
Guinea,National,cumulative_cases,2/2/2015,2959
Guinea,National,cumulative_deaths,2/2/2015,1937
Guinea,National,cumulative_cases,3/2/2015,2975
Guinea,National,cumulative_deaths,3/2/2015,1944
Guinea,National,cumulative_cases,4/2/2015,2975
Guinea,National,cumulative_deaths,4/2/2015,1944
Guinea,National,cumulative_cases,5/2/2015,2986
Guinea,National,cumulative_deaths,5/2/2015,1947
Guinea,National,cumulative_cases,6/2/2015,2988
Guinea,National,cumulative_deaths,6/2/2015,1957
Guinea,National,cumulative_cases,10/2/2015,3044
Guinea,National,cumulative_deaths,10/2/2015,1995
Guinea,National,cumulative_cases,11/2/2015,3044
Guinea,National,cumulative_deaths,11/2/2015,1995
Guinea,National,cumulative_cases,12/2/2015,3068
Guinea,National,cumulative_deaths,12/2/2015,2018
Guinea,National,cumulative_cases,13/02/2015,3081
Guinea,National,cumulative_deaths,13/02/2015,2032
Guinea,National,cumulative_cases,16/02/2015,3101
Guinea,National,cumulative_deaths,16/02/2015,2052
Guinea,National,cumulative_cases,17/02/2015,3108
Guinea,National,cumulative_deaths,17/02/2015,2057
Guinea,National,cumulative_cases,18/02/2015,3108
Guinea,National,cumulative_deaths,18/02/2015,2057
Guinea,National,cumulative_cases,19/02/2015,3115
Guinea,National,cumulative_deaths,19/02/2015,2067
Guinea,National,cumulative_cases,20/02/2015,3120
Guinea,National,cumulative_deaths,20/02/2015,2072
Guinea,National,cumulative_cases,23/02/2015,3155
Guinea,National,cumulative_deaths,23/02/2015,2086
Guinea,National,cumulative_cases,25/02/2015,3155
Guinea,National,cumulative_deaths,25/02/2015,2091
Guinea,National,cumulative_cases,26/02/2015,3175
Guinea,National,cumulative_deaths,26/02/2015,2101
Guinea,National,cumulative_cases,27/02/2015,3190
Guinea,National,cumulative_deaths,27/02/2015,2113
Guinea,National,cumulative_cases,2/3/2015,3205
Guinea,National,cumulative_deaths,2/3/2015,2127
Guinea,National,cumulative_cases,4/3/2015,3205
Guinea,National,cumulative_deaths,4/3/2015,2127
Guinea,National,cumulative_cases,5/3/2015,3237
Guinea,National,cumulative_deaths,5/3/2015,2141
Guinea,National,cumulative_cases,6/3/2015,3248
Guinea,National,cumulative_deaths,6/3/2015,2147
Guinea,National,cumulative_cases,10/3/2015,3285
Guinea,National,cumulative_deaths,10/3/2015,2170
Guinea,National,cumulative_cases,11/3/2015,3285
Guinea,National,cumulative_deaths,11/3/2015,2170
Guinea,National,cumulative_cases,12/3/2015,3330
Guinea,National,cumulative_deaths,12/3/2015,2187
Guinea,National,cumulative_cases,13/03/2015,3331
Guinea,National,cumulative_deaths,13/03/2015,2192
Guinea,National,cumulative_cases,16/03/2015,3373
Guinea,National,cumulative_deaths,16/03/2015,2216
Guinea,National,cumulative_cases,17/03/2015,3389
Guinea,National,cumulative_deaths,17/03/2015,2224
Guinea,National,cumulative_cases,18/03/2015,3389
Guinea,National,cumulative_deaths,18/03/2015,2224
Guinea,National,cumulative_cases,20/03/2015,3404
Guinea,National,cumulative_deaths,20/03/2015,2241
Guinea,National,cumulative_cases,23/03/2015,3420
Guinea,National,cumulative_deaths,23/03/2015,2261
Guinea,National,cumulative_cases,24/03/2015,3429
Guinea,National,cumulative_deaths,24/03/2015,2263
Guinea,National,cumulative_cases,25/03/2015,3429
Guinea,National,cumulative_deaths,25/03/2015,2263
Guinea,National,cumulative_cases,26/03/2015,3459
Guinea,National,cumulative_deaths,26/03/2015,2273
Guinea,National,cumulative_cases,27/03/2015,3466
Guinea,National,cumulative_deaths,27/03/2015,2276
Guinea,National,cumulative_cases,7/4/2015,3515
Guinea,National,cumulative_deaths,7/4/2015,2333
Guinea,National,cumulative_cases,9/4/2015,3515
Guinea,National,cumulative_deaths,9/4/2015,2335
Guinea,National,cumulative_cases,13/04/2015,3541
Guinea,National,cumulative_deaths,13/04/2015,2342
Guinea,National,cumulative_cases,14/04/2015,3548
Guinea,National,cumulative_deaths,14/04/2015,2346
Guinea,National,cumulative_cases,15/04/2015,3548
Guinea,National,cumulative_deaths,15/04/2015,2346
Guinea,National,cumulative_cases,16/04/2015,3566
Guinea,National,cumulative_deaths,16/04/2015,2348
Guinea,National,cumulative_cases,17/04/2015,3569
Guinea,National,cumulative_deaths,17/04/2015,2351
Guinea,National,cumulative_cases,20/04/2015,3565
Guinea,National,cumulative_deaths,20/04/2015,2357
Guinea,National,cumulative_cases,21/04/2015,3565
Guinea,National,cumulative_deaths,21/04/2015,2358
Guinea,National,cumulative_cases,22/04/2015,3565
Guinea,National,cumulative_deaths,22/04/2015,2358
Guinea,National,cumulative_cases,23/04/2015,3568
Guinea,National,cumulative_deaths,23/04/2015,2362
Guinea,National,cumulative_cases,24/04/2015,3576
Guinea,National,cumulative_deaths,24/04/2015,2365
Guinea,National,cumulative_cases,27/04/2015,3585
Guinea,National,cumulative_deaths,27/04/2015,2374
Guinea,National,cumulative_cases,28/04/2015,3584
Guinea,National,cumulative_deaths,28/04/2015,2377
Guinea,National,cumulative_cases,30/04/2015,3581
Guinea,National,cumulative_deaths,30/04/2015,2381
Guinea,National,cumulative_cases,1/5/2015,3578
Guinea,National,cumulative_deaths,1/5/2015,2383
Guinea,National,cumulative_cases,4/5/2015,3591
Guinea,National,cumulative_deaths,4/5/2015,2385
Guinea,National,cumulative_cases,5/5/2015,3589
Guinea,National,cumulative_deaths,5/5/2015,2386
Guinea,National,cumulative_cases,6/5/2015,3589
Guinea,National,cumulative_deaths,6/5/2015,2386
Guinea,National,cumulative_cases,7/5/2015,3592
Guinea,National,cumulative_deaths,7/5/2015,2387
Guinea,National,cumulative_cases,8/5/2015,3592
Guinea,National,cumulative_deaths,8/5/2015,2387
Guinea,National,cumulative_cases,11/5/2015,3599
Guinea,National,cumulative_deaths,11/5/2015,2391
Guinea,National,cumulative_cases,12/5/2015,3597
Guinea,National,cumulative_deaths,12/5/2015,2392
Guinea,National,cumulative_cases,13/05/2015,3599
Guinea,National,cumulative_deaths,13/05/2015,2391
Guinea,National,cumulative_cases,14/05/2015,3615
Guinea,National,cumulative_deaths,14/05/2015,2399
Guinea,National,cumulative_cases,15/05/2015,3619
Guinea,National,cumulative_deaths,15/05/2015,2401
Guinea,National,cumulative_cases,18/05/2015,3626
Guinea,National,cumulative_deaths,18/05/2015,2405
Guinea,National,cumulative_cases,19/05/2015,3635
Guinea,National,cumulative_deaths,19/05/2015,2407
Guinea,National,cumulative_cases,20/05/2015,3635
Guinea,National,cumulative_deaths,20/05/2015,2407
Guinea,National,cumulative_cases,21/05/2015,3649
Guinea,National,cumulative_deaths,21/05/2015,2409
Guinea,National,cumulative_cases,22/05/2015,3647
Guinea,National,cumulative_deaths,22/05/2015,2412
Guinea,National,cumulative_cases,25/05/2015,3640
Guinea,National,cumulative_deaths,25/05/2015,2418
Guinea,National,cumulative_cases,26/05/2015,3641
Guinea,National,cumulative_deaths,26/05/2015,2420
Guinea,National,cumulative_cases,27/05/2015,3641
Guinea,National,cumulative_deaths,27/05/2015,2420
Guinea,National,cumulative_cases,28/05/2015,3639
Guinea,National,cumulative_deaths,28/05/2015,2423
Guinea,National,cumulative_cases,29/05/2015,3644
Guinea,National,cumulative_deaths,29/05/2015,2425
Guinea,National,cumulative_cases,1/6/2015,3653
Guinea,National,cumulative_deaths,1/6/2015,2428
Guinea,National,cumulative_cases,2/6/2015,3652
Guinea,National,cumulative_deaths,2/6/2015,2429
Guinea,National,cumulative_cases,3/6/2015,3652
Guinea,National,cumulative_deaths,3/6/2015,2429
Guinea,National,cumulative_cases,4/6/2015,3657
Guinea,National,cumulative_deaths,4/6/2015,2431
Guinea,National,cumulative_cases,5/6/2015,3664
Guinea,National,cumulative_deaths,5/6/2015,2431
Guinea,National,cumulative_cases,8/6/2015,3669
Guinea,National,cumulative_deaths,8/6/2015,2435
Guinea,National,cumulative_cases,9/6/2015,3670
Guinea,National,cumulative_deaths,9/6/2015,2437
Guinea,National,cumulative_cases,10/6/2015,3670
Guinea,National,cumulative_deaths,10/6/2015,2437
Guinea,National,cumulative_cases,11/6/2015,3674
Guinea,National,cumulative_deaths,11/6/2015,2440
Guinea,National,cumulative_cases,12/6/2015,3677
Guinea,National,cumulative_deaths,12/6/2015,2440
Guinea,National,cumulative_cases,15/06/2015,3677
Guinea,National,cumulative_deaths,15/06/2015,2443
Guinea,National,cumulative_cases,16/06/2015,3678
Guinea,National,cumulative_deaths,16/06/2015,2444
Guinea,National,cumulative_cases,17/06/2015,3674
Guinea,National,cumulative_deaths,17/06/2015,2444
Guinea,National,cumulative_cases,18/06/2015,3675
Guinea,National,cumulative_deaths,18/06/2015,2445
Guinea,National,cumulative_cases,19/06/2015,3674
Guinea,National,cumulative_deaths,19/06/2015,2446
Guinea,National,cumulative_cases,22/06/2015,3698
Guinea,National,cumulative_deaths,22/06/2015,2456
Guinea,National,cumulative_cases,23/06/2015,3718
Guinea,National,cumulative_deaths,23/06/2015,2473
Guinea,National,cumulative_cases,24/06/2015,3718
Guinea,National,cumulative_deaths,24/06/2015,2473
Guinea,National,cumulative_cases,25/06/2015,3718
Guinea,National,cumulative_deaths,25/06/2015,2480
Guinea,National,cumulative_cases,26/06/2015,3720
Guinea,National,cumulative_deaths,26/06/2015,2480
Guinea,National,cumulative_cases,29/06/2015,3724
Guinea,National,cumulative_deaths,29/06/2015,2482
Guinea,National,cumulative_cases,30/06/2015,3729
Guinea,National,cumulative_deaths,30/06/2015,2482
Guinea,National,cumulative_cases,1/7/2015,3729
Guinea,National,cumulative_deaths,1/7/2015,2482
Guinea,National,cumulative_cases,2/7/2015,3745
Guinea,National,cumulative_deaths,2/7/2015,2490
Guinea,National,cumulative_cases,3/7/2015,3750
Guinea,National,cumulative_deaths,3/7/2015,2492
Guinea,National,cumulative_cases,6/7/2015,3744
Guinea,National,cumulative_deaths,6/7/2015,2498
Guinea,National,cumulative_cases,7/7/2015,3748
Guinea,National,cumulative_deaths,7/7/2015,2499
Guinea,National,cumulative_cases,8/7/2015,3748
Guinea,National,cumulative_deaths,8/7/2015,2499
Guinea,National,cumulative_cases,9/7/2015,3744
Guinea,National,cumulative_deaths,9/7/2015,2505
Guinea,National,cumulative_cases,10/7/2015,3751
Guinea,National,cumulative_deaths,10/7/2015,2505
Guinea,National,cumulative_cases,13/07/2015,3754
Guinea,National,cumulative_deaths,13/07/2015,2506
Guinea,National,cumulative_cases,14/07/2015,3760
Guinea,National,cumulative_deaths,14/07/2015,2506
Guinea,National,cumulative_cases,15/07/2015,3760
Guinea,National,cumulative_deaths,15/07/2015,2506
Guinea,National,cumulative_cases,16/07/2015,3762
Guinea,National,cumulative_deaths,16/07/2015,2506
Guinea,National,cumulative_cases,17/07/2015,3770
Guinea,National,cumulative_deaths,17/07/2015,2509
Guinea,National,cumulative_cases,20/07/2015,3784
Guinea,National,cumulative_deaths,20/07/2015,2511
Guinea,National,cumulative_cases,21/07/2015,3783
Guinea,National,cumulative_deaths,21/07/2015,2512
Guinea,National,cumulative_cases,22/07/2015,3783
Guinea,National,cumulative_deaths,22/07/2015,2512
Guinea,National,cumulative_cases,23/07/2015,3788
Guinea,National,cumulative_deaths,23/07/2015,2516
Guinea,National,cumulative_cases,24/07/2015,3787
Guinea,National,cumulative_deaths,24/07/2015,2517
Guinea,National,cumulative_cases,27/07/2015,3792
Guinea,National,cumulative_deaths,27/07/2015,2519
Guinea,National,cumulative_cases,28/07/2015,3786
Guinea,National,cumulative_deaths,28/07/2015,2520
Guinea,National,cumulative_cases,29/07/2015,3786
Guinea,National,cumulative_deaths,29/07/2015,2520
Guinea,National,cumulative_cases,30/07/2015,3785
Guinea,National,cumulative_deaths,30/07/2015,2521
Guinea,National,cumulative_cases,31/07/2015,3781
Guinea,National,cumulative_deaths,31/07/2015,2521
Guinea,National,cumulative_cases,3/8/2015,3786
Guinea,National,cumulative_deaths,3/8/2015,2522
Guinea,National,cumulative_cases,4/8/2015,3784
Guinea,National,cumulative_deaths,4/8/2015,2522
Guinea,National,cumulative_cases,5/8/2015,3784
Guinea,National,cumulative_deaths,5/8/2015,2522
Guinea,National,cumulative_cases,6/8/2015,3792
Guinea,National,cumulative_deaths,6/8/2015,2524
Guinea,National,cumulative_cases,7/8/2015,3795
Guinea,National,cumulative_deaths,7/8/2015,2524
Guinea,National,cumulative_cases,10/8/2015,3791
Guinea,National,cumulative_deaths,10/8/2015,2524
Guinea,National,cumulative_cases,11/8/2015,3787
Guinea,National,cumulative_deaths,11/8/2015,2524
Guinea,National,cumulative_cases,12/8/2015,3787
Guinea,National,cumulative_deaths,12/8/2015,2524
Guinea,National,cumulative_cases,13/08/2015,3792
Guinea,National,cumulative_deaths,13/08/2015,2524
Guinea,National,cumulative_cases,14/08/2015,3791
Guinea,National,cumulative_deaths,14/08/2015,2524
Guinea,National,cumulative_cases,17/08/2015,3790
Guinea,National,cumulative_deaths,17/08/2015,2524
Guinea,National,cumulative_cases,18/08/2015,3786
Guinea,National,cumulative_deaths,18/08/2015,2524
Guinea,National,cumulative_cases,19/08/2015,3786
Guinea,National,cumulative_deaths,19/08/2015,2524
Guinea,National,cumulative_cases,20/08/2015,3792
Guinea,National,cumulative_deaths,20/08/2015,2526
Guinea,National,cumulative_cases,21/08/2015,3795
Guinea,National,cumulative_deaths,21/08/2015,2526
Guinea,National,cumulative_cases,24/08/2015,3790
Guinea,National,cumulative_deaths,24/08/2015,2527
Guinea,National,cumulative_cases,25/08/2015,3792
Guinea,National,cumulative_deaths,25/08/2015,2527
Guinea,National,cumulative_cases,26/08/2015,3792
Guinea,National,cumulative_deaths,26/08/2015,2527
Guinea,National,cumulative_cases,27/08/2015,3797
Guinea,National,cumulative_deaths,27/08/2015,2528
Guinea,National,cumulative_cases,28/08/2015,3797
Guinea,National,cumulative_deaths,28/08/2015,2528
Guinea,National,cumulative_cases,31/08/2015,3790
Guinea,National,cumulative_deaths,31/08/2015,2528
Guinea,National,cumulative_cases,1/9/2015,3792
Guinea,National,cumulative_deaths,1/9/2015,2529
Guinea,National,cumulative_cases,2/9/2015,3792
Guinea,National,cumulative_deaths,2/9/2015,2529
Guinea,National,cumulative_cases,3/9/2015,3792
Guinea,National,cumulative_deaths,3/9/2015,2529
Guinea,National,cumulative_cases,4/9/2015,3792
Guinea,National,cumulative_deaths,4/9/2015,2529
Guinea,National,cumulative_cases,7/9/2015,3793
Guinea,National,cumulative_deaths,7/9/2015,2530
Guinea,National,cumulative_cases,8/9/2015,3792
Guinea,National,cumulative_deaths,8/9/2015,2530
Guinea,National,cumulative_cases,9/9/2015,3792
Guinea,National,cumulative_deaths,9/9/2015,2530
Guinea,National,cumulative_cases,10/9/2015,3791
Guinea,National,cumulative_deaths,10/9/2015,2530
Guinea,National,cumulative_cases,11/9/2015,3791
Guinea,National,cumulative_deaths,11/9/2015,2530
Guinea,National,cumulative_cases,14/09/2015,3793
Guinea,National,cumulative_deaths,14/09/2015,2530
Guinea,National,cumulative_cases,15/09/2015,3792
Guinea,National,cumulative_deaths,15/09/2015,2530
Guinea,National,cumulative_cases,16/09/2015,3792
Guinea,National,cumulative_deaths,16/09/2015,2530
Guinea,National,cumulative_cases,17/09/2015,3794
Guinea,National,cumulative_deaths,17/09/2015,2530
Guinea,National,cumulative_cases,18/09/2015,3794
Guinea,National,cumulative_deaths,18/09/2015,2531
Guinea,National,cumulative_cases,21/09/2015,3797
Guinea,National,cumulative_deaths,21/09/2015,2532
Guinea,National,cumulative_cases,22/09/2015,3800
Guinea,National,cumulative_deaths,22/09/2015,2532
Guinea,National,cumulative_cases,23/09/2015,3800
Guinea,National,cumulative_deaths,23/09/2015,2532
Guinea,National,cumulative_cases,24/09/2015,3801
Guinea,National,cumulative_deaths,24/09/2015,2533
Guinea,National,cumulative_cases,25/09/2015,3797
Guinea,National,cumulative_deaths,25/09/2015,2533
Guinea,National,cumulative_cases,28/09/2015,3805
Guinea,National,cumulative_deaths,28/09/2015,2533
Guinea,National,cumulative_cases,29/09/2015,3805
Guinea,National,cumulative_deaths,29/09/2015,2533
Guinea,National,cumulative_cases,30/09/2015,3805
Guinea,National,cumulative_deaths,30/09/2015,2533
Guinea,National,cumulative_cases,1/10/2015,3808
Guinea,National,cumulative_deaths,1/10/2015,2533
Guinea,National,cumulative_cases,2/10/2015,3809
Guinea,National,cumulative_deaths,2/10/2015,2533
Guinea,National,cumulative_cases,5/10/2015,3804
Guinea,National,cumulative_deaths,5/10/2015,2534
Guinea,National,cumulative_cases,6/10/2015,3804
Guinea,National,cumulative_deaths,6/10/2015,2534
Guinea,National,cumulative_cases,7/10/2015,3804
Guinea,National,cumulative_deaths,7/10/2015,2534
Guinea,National,cumulative_cases,8/10/2015,3799
Guinea,National,cumulative_deaths,8/10/2015,2534
Guinea,National,cumulative_cases,9/10/2015,3800
Guinea,National,cumulative_deaths,9/10/2015,2534
Guinea,National,cumulative_cases,13/10/2015,3800
Guinea,National,cumulative_deaths,13/10/2015,2534
Guinea,National,cumulative_cases,15/10/2015,3802
Guinea,National,cumulative_deaths,15/10/2015,2534
Guinea,National,cumulative_cases,16/10/2015,3804
Guinea,National,cumulative_deaths,16/10/2015,2535
Guinea,National,cumulative_cases,20/10/2015,3803
Guinea,National,cumulative_deaths,20/10/2015,2535
Guinea,National,cumulative_cases,22/10/2015,3801
Guinea,National,cumulative_deaths,22/10/2015,2535
Guinea,National,cumulative_cases,23/10/2015,3801
Guinea,National,cumulative_deaths,23/10/2015,2535
Guinea,National,cumulative_cases,26/10/2015,3804
Guinea,National,cumulative_deaths,26/10/2015,2535
Guinea,National,cumulative_cases,27/10/2015,3806
Guinea,National,cumulative_deaths,27/10/2015,2535
Guinea,National,cumulative_cases,29/10/2015,3808
Guinea,National,cumulative_deaths,29/10/2015,2536
Guinea,National,cumulative_cases,30/10/2015,3808
Guinea,National,cumulative_deaths,30/10/2015,2536
Guinea,National,cumulative_cases,3/11/2015,3810
Guinea,National,cumulative_deaths,3/11/2015,2536
Guinea,National,cumulative_cases,5/11/2015,3805
Guinea,National,cumulative_deaths,5/11/2015,2536
Guinea,National,cumulative_cases,6/11/2015,3805
Guinea,National,cumulative_deaths,6/11/2015,2536
Guinea,National,cumulative_cases,10/11/2015,3805
Guinea,National,cumulative_deaths,10/11/2015,2536
Guinea,National,cumulative_cases,11/11/2015,3805
Guinea,National,cumulative_deaths,11/11/2015,2536
Guinea,National,cumulative_cases,12/11/2015,3805
Guinea,National,cumulative_deaths,12/11/2015,2536
Guinea,National,cumulative_cases,16/11/2015,3805
Guinea,National,cumulative_deaths,16/11/2015,2536
Guinea,National,cumulative_cases,17/11/2015,3804
Guinea,National,cumulative_deaths,17/11/2015,2536
Guinea,National,cumulative_cases,20/11/2015,3804
Guinea,National,cumulative_deaths,20/11/2015,2536
Guinea,National,cumulative_cases,24/11/2015,3804
Guinea,National,cumulative_deaths,24/11/2015,2536
Guinea,National,cumulative_cases,26/11/2015,3804
Guinea,National,cumulative_deaths,26/11/2015,2536
Guinea,National,cumulative_cases,1/12/2015,3804
Guinea,National,cumulative_deaths,1/12/2015,2536
Guinea,National,cumulative_cases,2/12/2015,3804
Guinea,National,cumulative_deaths,2/12/2015,2536
Guinea,National,cumulative_cases,3/12/2015,3805
Guinea,National,cumulative_deaths,3/12/2015,2536
Guinea,National,cumulative_cases,9/12/2015,3804
Guinea,National,cumulative_deaths,9/12/2015,2536
Guinea,National,cumulative_cases,10/12/2015,3804
Guinea,National,cumulative_deaths,10/12/2015,2536
Guinea,National,cumulative_cases,11/12/2015,3804
Guinea,National,cumulative_deaths,11/12/2015,2536
Guinea,National,cumulative_cases,15/12/2015,3807
Guinea,National,cumulative_deaths,15/12/2015,2536
Guinea,National,cumulative_cases,16/12/2015,3807
Guinea,National,cumulative_deaths,16/12/2015,2536
Guinea,National,cumulative_cases,17/12/2015,3805
Guinea,National,cumulative_deaths,17/12/2015,2536
Guinea,National,cumulative_cases,22/12/2015,3804
Guinea,National,cumulative_deaths,22/12/2015,2536
Guinea,National,cumulative_cases,23/12/2015,3804
Guinea,National,cumulative_deaths,23/12/2015,2536
Guinea,National,cumulative_cases,29/12/2015,3804
Guinea,National,cumulative_deaths,29/12/2015,2536
Guinea,National,cumulative_cases,23/03/2016,3804
Guinea,National,cumulative_deaths,23/03/2016,2536
